Closest_match,Score,Expected,Template_length,Template_Identity,Template_Coverage,Query_Identity,Query_Coverage,Depth,q_value,p_value,LCA_TaxId,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species
"175245|KX176119.1 Uncultured fungus clone Otu1796 internal transcribed spacer 1 and 5.8S ribosomal RNA gene, partial sequence",150,1,206,97.57,97.57,100,102.49,2.93,145.19,1.00E-26,175245,Eukaryota,Fungi,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured fungus
"29497|KJ507533.1 Vibrio splendidus strain D07bSept DNA gyrase subunit B (gyrB) gene, partial cds",75668,7,926,78.62,80.99,97.07,123.47,405.56,75646.05,1.00E-26,662,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,
"1490085|KJ722501.1 Tepidibacter sp. 26TPM1-ana3 16S ribosomal RNA gene, partial sequence",2368,11,1491,30.52,30.65,99.56,326.26,7.53,2332.89,1.00E-26,1490085,Bacteria,unk_k,Firmicutes,Clostridia,Eubacteriales,Peptostreptococcaceae,Tepidibacter,Tepidibacter sp. 26TPM1-ana3
"1393101|KF188487.1 Tepidibacter sp. S8CA 16S ribosomal RNA gene, partial sequence",856,11,1396,24.64,24.71,99.71,404.64,2.79,823.47,1.00E-26,1393101,Bacteria,unk_k,Firmicutes,Clostridia,Eubacteriales,Peptostreptococcaceae,Tepidibacter,Tepidibacter sp. S8CA
"115547|AB948299.1 Uncultured archaeon gene for 16S rRNA, partial sequence, clone: A-2-10Surface-41",898,8,1071,59.66,59.66,100,167.61,4.61,872.93,1.00E-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"663|KJ579443.1 Vibrio alginolyticus strain HY9901 ToxR protein (toxR) gene, complete cds",9240,8,1114,78.64,78.82,99.77,126.88,28.33,9213.63,1.00E-26,663,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus
"77133|KJ616261.1 Uncultured bacterium clone PAH3week11SedimAnoxic_J07_11_C05 16S ribosomal RNA gene, partial sequence",292,4,551,62.43,62.79,99.42,159.25,2.72,279.19,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|KJ589141.1 Uncultured bacterium clone KB44B_067 16S ribosomal RNA gene, partial sequence",1232,3,467,97.86,99.14,98.7,100.86,13.68,1220.97,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"34034|KJ589235.1 Uncultured delta proteobacterium clone KB46B_0723 16S ribosomal RNA gene, partial sequence",308,3,494,54.05,54.86,98.52,182.29,2.74,296.48,1.00E-26,34034,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,unk_o,unk_f,unk_g,uncultured delta proteobacterium
"663|KJ637319.1 Vibrio alginolyticus HutD (hutD) gene, complete cds",1012,6,783,46.74,47.25,98.92,211.62,4.95,993.59,1.00E-26,663,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus
"663|KJ637322.1 Vibrio alginolyticus HutZ (hutZ) gene, complete cds",1284,4,531,94.73,94.92,99.8,105.36,11.29,1271.47,1.00E-26,663,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus
"136468|JX575293.1 Vibrio lentus strain W1 34B5 uridilate kinase (pyrH) gene, partial cdsJX575295.1 Vibrio lentus strain W1 34B7 uridilate kinase (pyrH) gene, partial cdsJX575305.1 Vibrio lentus strain S1 34C7 uridilate kinase (pyrH) gene, partial cdsJX575420.1 Vibrio lentus strain W2 36E4 uridilate kinase (pyrH) gene, partial cds",119078,3,503,99.6,100,99.6,100,934.22,119066.08,1.00E-26,136468,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio lentus
"1176482|NR_121920.1 Sulfurimonas gotlandica strain GD1 23S ribosomal RNA gene, complete sequence",13606,23,2922,77.45,81.25,95.32,123.08,31.49,13536.89,1.00E-26,2771471,Bacteria,unk_k,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Thiovulaceae,,
"1342794|KF748542.1 Photobacterium sanctipauli strain A-373 RNA polymerase alpha-subunit (rpoA) gene, partial cds",998,7,963,89.41,94.08,95.03,106.29,7.29,975.4,1.00E-26,641,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,,
"663|KJ647547.1 Vibrio alginolyticus strain VN-10084 RNA polymerase beta subunit (rpoB) gene, partial cds",1580,12,1529,40.29,40.61,99.19,246.22,4.64,1544.12,1.00E-26,663,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus
"669|KJ648010.1 Vibrio harveyi strain VN-3801 RNA polymerase beta subunit (rpoB) gene, partial cds",1896,12,1529,27.27,27.27,100,366.67,5.69,1860.06,1.00E-26,669,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio harveyi
"1482768|KJ648019.1 Vibrio sp. VN-3824 RNA polymerase beta subunit (rpoB) gene, partial cds",930,12,1529,22.5,22.89,98.29,436.86,2.74,894.37,1.00E-26,662,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,
"77133|KM008317.1 Uncultured bacterium clone 8Bac10 16S ribosomal RNA gene, partial sequence",2274,7,967,72.8,73.22,99.44,136.58,11.73,2251.18,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"1547133|KM261707.1 Vibrio sp. PAS29 16S ribosomal RNA gene, partial sequence",424,5,690,85.51,86.23,99.16,115.97,3.04,407.92,1.00E-26,1547133,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio sp. PAS29
"120965|KJ941805.1 Uncultured planctomycete clone Brunei_Damuan_E01 16S ribosomal RNA gene, partial sequence",368,4,588,44.05,44.73,98.48,223.57,2.68,354.29,1.00E-26,120965,Bacteria,unk_k,Planctomycetota,unk_c,unk_o,unk_f,unk_g,uncultured planctomycete
"77133|HG425655.1 Uncultured bacterium partial 16S rRNA gene, clone YK06-05_957_Bac_38",1206,6,768,54.17,54.17,100,184.62,6.86,1187.92,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|HG425487.1 Uncultured bacterium partial 16S rRNA gene, clone YK06-05_955_Bac_2",486,4,593,49.75,50.59,98.33,197.67,5.56,472.12,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|HG425493.1 Uncultured bacterium partial 16S rRNA gene, clone YK06-05_955_Bac_35",2594,3,480,99.38,99.79,99.58,100.21,21.05,2582.64,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|HG425512.1 Uncultured bacterium partial 16S rRNA gene, clone YK06-05_955_Bac_54",322,4,626,23.8,23.96,99.33,417.33,1.68,307.46,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"672|KM107633.1 Vibrio vulnificus strain CICESE-363 putative RTX-toxin gene, partial cdsKM107634.1 Vibrio vulnificus strain CICESE-368 putative RTX-toxin gene, partial cdsKM107635.1 Vibrio vulnificus strain CICESE-369 putative RTX-toxin gene, partial cds",2650,5,642,81.78,88.63,92.27,112.83,33.35,2634.82,1.00E-26,641,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,,
"666|KJ123688.1 Vibrio cholerae strain S24 RecA genomic island, complete sequence",649478,258,32783,37.77,39.55,95.5,252.86,127.41,648701.64,1.00E-26,641,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,,
"29497|KM269876.1 Vibrio splendidus strain 318 extracellular zinc metalloprotease gene, partial cds",1522,3,504,87.5,92.46,94.64,108.15,23.26,1510.09,1.00E-26,641,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,,
"29497|KM269894.1 Vibrio splendidus strain 229 extracellular zinc metalloprotease gene, partial cds",9622,3,504,94.84,100,94.84,100,149.27,9610.06,1.00E-26,641,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,,
"29497|KM269906.1 Vibrio splendidus strain 222 extracellular zinc metalloprotease gene, partial cds",22890,3,504,94.84,100,94.84,100,316.59,22878.06,1.00E-26,641,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,,
"29497|KM269922.1 Vibrio splendidus strain 166 extracellular zinc metalloprotease gene, partial cds",3732,3,504,62.7,65.67,95.47,152.27,45.46,3720.07,1.00E-26,641,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,,
"29497|KM269926.1 Vibrio splendidus strain 301 extracellular zinc metalloprotease gene, partial cdsKM269986.1 Vibrio splendidus strain 295 extracellular zinc metalloprotease gene, partial cds",12376,3,504,94.05,100,94.05,100,178.27,12364.06,1.00E-26,641,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,,
"29497|KM269942.1 Vibrio splendidus strain 276 extracellular zinc metalloprotease gene, partial cdsKM269953.1 Vibrio splendidus strain 277 extracellular zinc metalloprotease gene, partial cds",4520,3,504,78.77,82.94,94.98,120.57,60.57,4508.07,1.00E-26,641,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,,
"1539281|KM393176.1 Vibrio sp. W13 alginate lyase (algA) gene, complete cds",7676,12,1566,74.27,74.65,99.49,133.96,22.07,7638.96,1.00E-26,1539281,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio sp. W13
"1539281|KM507331.1 Vibrio sp. W13 alginate lyase (algB) gene, partial cds",7112,11,1437,92.07,92.69,99.32,107.88,22.65,7078.01,1.00E-26,1539281,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio sp. W13
"77133|KM656207.1 Uncultured bacterium clone RHDTWG31 16S ribosomal RNA gene, partial sequence",752,8,1093,27.45,27.45,100,364.33,2.47,726.48,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"1570069|KM487645.1 Vibrio sp. AN72 TopA (topA) gene, partial cds",2836,5,678,84.37,85.4,98.79,117.1,16.48,2819.97,1.00E-26,1570069,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio sp. AN72
"77133|AB804024.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: smkt_Bact_001_039",1514,11,1445,37.02,37.02,100,270.09,4.1,1480.09,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB804054.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: smkt_Bact_002_003",938,11,1442,38.14,38.28,99.64,261.23,2.91,904.36,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB804055.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: smkt_Bact_002_004AB804058.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: smkt_Bact_002_007AB804060.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: smkt_Bact_002_009AB804067.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: smkt_Bact_002_016",3222,11,1442,78.16,78.36,99.73,127.61,10.82,3187.98,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB804068.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: smkt_Bact_002_017AB804073.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: smkt_Bact_002_022AB804074.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: smkt_Bact_002_023AB804075.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: smkt_Bact_002_024",1702,11,1442,49.86,50.14,99.45,199.45,5.61,1668.12,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"115547|AB802703.1 Uncultured archaeon gene for 16S rRNA, partial sequence, clone: smkt_Thp_06_0022",4742,11,1398,91.63,91.77,99.84,108.96,19.94,4708.96,1.00E-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"115547|AB801185.1 Uncultured archaeon gene for 16S rRNA, partial sequence, clone: smkt_MGI_02_0002AB801186.1 Uncultured archaeon gene for 16S rRNA, partial sequence, clone: smkt_MGI_02_0003",1054,11,1401,32.91,32.98,99.78,303.25,3.21,1021.25,1.00E-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"115547|AB802927.1 Uncultured archaeon gene for 16S rRNA, partial sequence, clone: smkt_Thp_07_0055",1620,11,1398,90.77,90.77,100,110.17,6.39,1587.16,1.00E-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"115547|AB803445.1 Uncultured archaeon gene for 16S rRNA, partial sequence, clone: smkt_Thp_46_0003",792,11,1398,60.01,60.44,99.29,165.44,3.62,759.47,1.00E-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"77133|AB804284.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: smkt_JS1_001_046",1020,12,1572,27.61,28.18,97.97,354.85,4.01,983.33,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|AB804989.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: smkt_JS1_001_751",1034,12,1573,55.05,55.75,98.75,179.36,3.25,997.3,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB805031.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: smkt_JS1_001_793",1006,12,1530,27.39,27.45,99.76,364.29,3.72,970.3,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB805035.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: smkt_JS1_001_797",1314,11,1513,37.54,37.61,99.82,265.91,3.77,1278.56,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB805179.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: smkt_JS1_001_941",1266,12,1570,54.78,54.78,100,182.56,3.82,1229.26,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB805406.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: smkt_JS1_002_169",1202,11,1511,21.58,21.58,100,463.5,2.98,1166.65,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB805508.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: smkt_JS1_002_271",3212,11,1514,65.32,65.39,99.9,152.93,8.9,3176.29,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB805882.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: smkt_OD1_011_001",1750,11,1410,78.87,79.5,99.2,125.78,6.32,1716.86,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB805959.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: smkt_chlof_002_005",1190,11,1428,53.64,54.97,97.58,181.91,4.58,1156.57,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|AB806012.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: smkt_chlof_011_003",17860,11,1429,96.71,96.92,99.78,103.18,63.37,17826.15,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB806019.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: smkt_chlof_014_002",748,11,1428,42.02,42.02,100,238,2.31,714.82,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB806022.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: smkt_chlof_016_001",1506,11,1428,71.92,72.41,99.32,138.1,5.04,1472.48,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB806031.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: smkt_chlof_020_002",3136,11,1437,56.02,56.78,98.65,176.1,8.76,3102.1,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB806036.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: smkt_chlof_023_001",1578,11,1430,75.24,75.52,99.63,132.41,5.86,1544.42,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB806042.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: smkt_chlof_026_001",2764,11,1427,90.68,92.15,98.4,108.52,10.76,2730.35,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|AB806055.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: smkt_chlof_034_001",1542,11,1429,44.37,44.37,100,225.39,4.62,1508.45,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB806060.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: smkt_chlof_039_001",1662,11,1430,80.42,81.12,99.14,123.28,6.54,1628.41,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB806065.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: smkt_chlof_044_001",982,11,1430,27.55,27.9,98.75,358.4,3.56,948.61,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB806229.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: smkt_Fir_011_001",8780,11,1434,99.93,100,99.93,100,30.64,8746.06,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB806230.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: smkt_Fir_012_001",4936,11,1434,82.98,83.05,99.92,120.4,14.43,4902.11,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB806236.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: smkt_Fir_018_001",1954,11,1452,91.05,91.74,99.25,109.01,6.48,1919.85,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB806292.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: smkt_Nit_001_011",1016,11,1475,37.56,37.56,100,266.25,2.85,981.56,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB806315.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: smkt_Nit_001_034",1746,11,1475,47.59,47.59,100,210.11,6.69,1711.34,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB806319.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: smkt_Nit_001_038",1070,11,1476,33.4,33.4,100,299.39,3.46,1035.51,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB806329.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: smkt_Nit_002_008",2396,11,1455,75.95,75.95,100,131.67,8.99,2361.73,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB806371.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: smkt_Nit_004_003",910,11,1464,42.49,42.49,100,235.37,3.48,875.88,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB806402.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: smkt_Nit_011_001",6158,11,1460,79.04,79.18,99.83,126.3,22.29,6123.48,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB806407.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: smkt_Nit_012_003",872,11,1463,27.96,27.96,100,357.7,3.28,837.92,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB806620.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: smkt_D-pro_005_005",3000,11,1446,57.05,57.05,100,175.27,10.77,2965.89,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB806627.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: smkt_D-pro_006_001",988,11,1497,25.18,25.18,100,397.08,3.76,953.07,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB806630.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: smkt_D-pro_006_004AB806635.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: smkt_D-pro_006_009",976,11,1497,28.92,28.92,100,345.73,3.07,941.08,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB806803.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: smkt_G-pro_018_001",1184,11,1456,37.02,37.29,99.26,268.14,3.49,1149.93,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB807058.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: smkt_Pla_021_003",2130,11,1479,73.77,74.37,99.18,134.45,6.85,2095.19,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB807104.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: smkt_Pla_036_001",1048,11,1473,48.4,48.74,99.3,205.15,3.26,1013.59,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB807143.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: smkt_Pla_055_002",2100,12,1566,57.41,57.66,99.56,173.42,6.13,2063.17,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB807288.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: smkt_Spi_004_001",3924,11,1477,74.68,74.88,99.73,133.54,11.31,3889.12,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB807333.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: smkt_TA06_001_031",1754,11,1480,76.82,77.16,99.56,129.6,5.19,1719.22,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB807339.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: smkt_TA06_002_003",1900,11,1488,29.5,29.5,100,338.95,5.65,1865.01,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB807353.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: smkt_TA06_008_001",1094,11,1461,65.23,66.05,98.76,151.4,3.81,1059.85,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"115547|AB797359.1 Uncultured archaeon gene for 16S rRNA, partial sequence, clone: smkt_AAG_01_0022AB797370.1 Uncultured archaeon gene for 16S rRNA, partial sequence, clone: smkt_AAG_01_0033",1004,11,1410,55.96,57.02,98.13,175.37,3.6,971.06,1.00E-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"115547|AB797444.1 Uncultured archaeon gene for 16S rRNA, partial sequence, clone: smkt_AAG_03_0022AB797446.1 Uncultured archaeon gene for 16S rRNA, partial sequence, clone: smkt_AAG_03_0024",1328,11,1410,66.1,66.1,100,151.29,4.68,1294.95,1.00E-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"115547|AB797494.1 Uncultured archaeon gene for 16S rRNA, partial sequence, clone: smkt_C3_01_0008",1614,11,1429,59.55,59.69,99.77,167.53,5.22,1580.44,1.00E-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"115547|AB797498.1 Uncultured archaeon gene for 16S rRNA, partial sequence, clone: smkt_C3_01_0012AB797499.1 Uncultured archaeon gene for 16S rRNA, partial sequence, clone: smkt_C3_01_0013",10368,11,1429,99.79,100,99.79,100,34.26,10334.17,1.00E-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"115547|AB797629.1 Uncultured archaeon gene for 16S rRNA, partial sequence, clone: smkt_C3_03_0008AB797641.1 Uncultured archaeon gene for 16S rRNA, partial sequence, clone: smkt_C3_03_0020AB797644.1 Uncultured archaeon gene for 16S rRNA, partial sequence, clone: smkt_C3_03_0023",1946,11,1407,87.92,88.56,99.28,112.92,6.77,1912.9,1.00E-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"115547|AB797653.1 Uncultured archaeon gene for 16S rRNA, partial sequence, clone: smkt_C3_04_0005",1964,11,1428,64.08,64.22,99.78,155.73,5.95,1930.41,1.00E-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"115547|AB797656.1 Uncultured archaeon gene for 16S rRNA, partial sequence, clone: smkt_C3_04_0008",1914,11,1428,39.01,39.08,99.82,255.91,5.88,1880.41,1.00E-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"115547|AB797668.1 Uncultured archaeon gene for 16S rRNA, partial sequence, clone: smkt_C3_05_0003AB797675.1 Uncultured archaeon gene for 16S rRNA, partial sequence, clone: smkt_C3_05_0010",2236,11,1430,96.15,96.43,99.71,103.7,6.9,2202.33,1.00E-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"115547|AB797683.1 Uncultured archaeon gene for 16S rRNA, partial sequence, clone: smkt_C3_06_0003",1318,11,1433,36.5,36.92,98.87,270.89,4.18,1284.42,1.00E-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
