Closest_match,Score,Expected,Template_length,Template_Identity,Template_Coverage,Query_Identity,Query_Coverage,Depth,q_value,p_value,LCA_TaxId,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species
4932|X00149.1 Saccharomyces cerevisiae mt 21s rRNA gene r1-intron,1410,4,1276,23.51,23.51,100.0,425.33,7.41,1395.69,1e-26,4932,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces cerevisiae
"77133|HQ588488.1 Uncultured bacterium clone AMSMV-10-B6 16S ribosomal RNA gene, partial sequence",8630,5,1369,51.35,51.42,99.86,194.46,33.01,8614.59,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|HQ588494.1 Uncultured bacterium clone AMSMV-10-B13 16S ribosomal RNA gene, partial sequence",3804,5,1351,22.13,22.21,99.67,450.33,17.89,3788.81,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|HQ588500.1 Uncultured bacterium clone AMSMV-10-B23 16S ribosomal RNA gene, partial sequence",6108,5,1414,32.53,32.67,99.57,306.06,16.38,6092.09,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|HQ588535.1 Uncultured bacterium clone AMSMV-15-B24 16S ribosomal RNA gene, partial sequence",2478,5,1347,22.2,22.27,99.67,449.0,10.21,2462.87,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|HQ588545.1 Uncultured bacterium clone AMSMV-15-B52 16S ribosomal RNA gene, partial sequence",4886,5,1409,27.32,27.32,100.0,365.97,18.33,4870.15,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|HQ588552.1 Uncultured bacterium clone AMSMV-15-B71 16S ribosomal RNA gene, partial sequence",12458,5,1461,63.31,63.59,99.57,157.27,37.69,12441.56,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|HQ588555.1 Uncultured bacterium clone AMSMV-15-B78 16S ribosomal RNA gene, partial sequence",11372,5,1529,55.59,55.85,99.53,179.04,33.33,11354.79,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|HQ588586.1 Uncultured bacterium clone AMSMV-20-B68 16S ribosomal RNA gene, partial sequence",12574,5,1519,72.35,72.48,99.82,137.97,36.14,12556.9,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|HQ588609.1 Uncultured bacterium clone AMSMV-30-B1 16S ribosomal RNA gene, partial sequence",2878,5,1423,50.25,50.81,98.89,196.82,12.0,2862.01,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"115547|HQ588674.1 Uncultured archaeon clone AMSMV-20-A37 16S ribosomal RNA gene, partial sequence",3046,5,1456,20.05,20.6,97.33,485.33,10.92,3029.64,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"115547|HQ588680.1 Uncultured archaeon clone AMSMV-25-A21 16S ribosomal RNA gene, partial sequence",10878,5,1450,44.0,44.0,100.0,227.27,38.11,10861.68,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"166587|AB583340.1 Uncultured Chloroflexi bacterium gene for 16S rRNA, partial sequence, clone: OGT_B3_29",576,3,804,35.7,36.19,98.63,276.29,6.51,567.01,1e-26,166587,Bacteria,unk_k,Chloroflexi,unk_c,unk_o,unk_f,unk_g,uncultured Chloroflexi bacterium
"77133|HM576688.1 Uncultured bacterium clone Chap_PS3_7819 dissimilatory sulfite reductase alpha subunit-like (dsrA) gene, partial sequence",17504,2,579,97.41,98.79,98.6,101.22,172.84,17497.48,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|HM576692.1 Uncultured bacterium clone Chap_PS3_7829 dissimilatory sulfite reductase alpha subunit-like (dsrA) gene, partial sequence",1638,2,549,51.55,54.28,94.97,184.23,15.74,1631.83,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"77133|HM562913.1 Uncultured bacterium clone Chap_PS2_54 dissimilatory sulfite reductase alpha subunit (dsrA) gene, partial cds",2938,2,579,68.57,71.33,96.13,140.19,31.86,2931.49,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"77133|HM562918.1 Uncultured bacterium clone Chap_PS2_60 dissimilatory sulfite reductase alpha subunit (dsrA) gene, partial cds",4532,2,579,51.3,51.81,99.0,193.0,32.8,4525.48,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|HM562927.1 Uncultured bacterium clone Chap_PS2_75 dissimilatory sulfite reductase alpha subunit (dsrA) gene, partial cds",10152,2,579,97.06,100.0,97.06,100.0,95.87,10145.48,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|HM562939.1 Uncultured bacterium clone Chap_PS2_13 dissimilatory sulfite reductase alpha subunit (dsrA) gene, partial cds",1044,2,579,39.21,40.59,96.6,246.38,12.57,1037.5,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|HM576742.1 Uncultured bacterium clone Chap_PS4_6048 dissimilatory sulfite reductase alpha subunit (dsrA) gene, partial cds",4748,2,575,73.74,73.91,99.76,135.29,33.18,4741.53,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|HM576811.1 Uncultured bacterium clone Chap_PS4_6224 dissimilatory sulfite reductase alpha subunit (dsrA) gene, partial cds",336,2,577,36.74,38.47,95.5,259.91,2.93,329.56,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"9606|AC242679.3 Homo sapiens FOSMID clone ABC14-948314L3 from chromosome 4, complete sequence",64740,124,33125,35.31,38.01,92.9,263.11,7.93,64367.94,1e-26,9604,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,,
"664643|HQ285761.1 Vibrio plantisponsor strain MSSRF60 glyceraldehyde-3-phosphate dehydrogenase (gapA) gene, partial cdsHQ285762.1 Vibrio plantisponsor strain MSSRF64 glyceraldehyde-3-phosphate dehydrogenase (gapA) gene, partial cds",4176,2,672,44.64,44.64,100.0,224.0,25.28,4168.44,1e-26,664643,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio plantisponsor
"115547|JF268328.1 Uncultured archaeon clone New_Zealand_cold_seep_clone_NZ_309_Arch18 16S ribosomal RNA gene, partial sequence",4498,5,1368,34.14,34.14,100.0,292.93,14.39,4482.62,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"115547|JF268337.1 Uncultured archaeon clone New_Zealand_cold_seep_clone_NZ_309_Arch75 16S ribosomal RNA gene, partial sequence",23630,5,1368,54.24,54.31,99.87,184.12,70.99,23614.6,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"115547|HQ454473.1 Uncultured archaeon clone A07b methyl coenzyme M reductase subunit A (mcrA) gene, partial cds",4560,2,775,37.29,38.45,96.98,260.07,30.33,4551.28,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|JF780784.1 Uncultured bacterium clone MH8m-01-65 16S ribosomal RNA gene, partial sequence",2550,2,689,40.49,41.65,97.21,240.07,22.81,2542.25,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|HQ716028.1 Uncultured bacterium clone F9P262000_R_G02 16S ribosomal RNA gene and 16S-23S ribosomal RNA intergenic spacer, partial sequenceHQ716029.1 Uncultured bacterium clone F9P262000_R_H03 16S ribosomal RNA gene and 16S-23S ribosomal RNA intergenic spacer, partial sequenceHQ715501.1 Uncultured bacterium clone F9P26500_R_F03 16S ribosomal RNA gene and 16S-23S ribosomal RNA intergenic spacer, partial sequence",2064,4,1204,24.09,24.92,96.67,401.33,8.96,2050.48,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|JN123523.1 Uncultured bacterium clone ORI-860-02-P_S341-343_026B04 16S ribosomal RNA gene, partial sequence",8498,5,1475,44.2,44.2,100.0,226.23,27.8,8481.4,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|JN123548.1 Uncultured bacterium clone ORI-860-03-P_S101-103_032B10 16S ribosomal RNA gene, partial sequence",1652,3,900,33.11,33.33,99.33,300.0,8.58,1641.89,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|JN123589.1 Uncultured bacterium clone ORI-860-03-P_S401-403_037B08 16S ribosomal RNA gene, partial sequence",1598,5,1493,18.75,20.09,93.33,497.67,9.04,1581.26,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"77133|JN123604.1 Uncultured bacterium clone ORI-860-04-P_S401-403_042B07 16S ribosomal RNA gene, partial sequence",1476,5,1443,20.37,20.79,98.0,481.0,6.24,1459.83,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|JF495356.1 Uncultured bacterium clone NSED2_132 16S ribosomal RNA gene, partial sequence",10056,5,1531,43.89,44.09,99.56,226.81,28.6,10038.77,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|JF495359.1 Uncultured bacterium clone NSED2_130 16S ribosomal RNA gene, partial sequence",3492,3,1044,21.74,21.84,99.56,457.89,16.5,3480.26,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"676241|FN553569.1 Uncultured sediment bacterium partial 16S rRNA gene, clone 263p-55",2612,3,813,32.1,32.35,99.24,309.13,14.09,2602.86,1e-26,676241,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured sediment bacterium
"588818|HQ700669.1 Uncultured ANME-1 euryarchaeote clone slm_arc_110 16S ribosomal RNA gene, partial sequence",2640,5,1453,26.08,26.5,98.44,377.4,10.42,2623.68,1e-26,588818,Archaea,unk_k,Euryarchaeota,Methanomicrobia,Methanophagales,unk_f,unk_g,uncultured ANME-1 euryarchaeote
"77133|JN676007.1 Uncultured bacterium clone 1226B4H3_12_FL 16S ribosomal RNA gene, partial sequence",1948,5,1365,21.83,21.98,99.33,455.0,7.63,1932.68,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|JN683981.1 Uncultured bacterium clone M2_56_F2 16S ribosomal RNA gene, partial sequence",10278,5,1501,51.23,51.57,99.35,193.93,31.7,10261.11,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|JF971331.1 Uncultured bacterium clone A1v 16S ribosomal RNA gene, partial sequence",2822,1,517,56.87,58.03,98.0,172.33,43.52,2816.18,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"3893|JN407470.1 Pueraria montana var. lobata isolate shawpc0980I 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",1272,2,722,40.03,41.55,96.33,240.67,13.3,1263.89,1e-26,3892,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Pueraria,
"115547|JN860550.1 Uncultured archaeon clone UBM1A80.19 16S ribosomal RNA gene, partial sequence",3928,3,837,63.8,63.8,100.0,156.74,21.74,3918.58,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"155900|JN537613.1 Uncultured organism clone SBZP_4305 16S ribosomal RNA gene, partial sequence",1852,2,755,38.15,39.74,96.0,251.67,12.32,1843.51,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,,
"166587|AB644859.1 Uncultured Chloroflexi bacterium gene for 16S rRNA, partial sequence, clone: C9001C_B04_6_C013",2728,3,842,35.27,35.63,99.0,280.67,18.81,2718.53,1e-26,166587,Bacteria,unk_k,Chloroflexi,unk_c,unk_o,unk_f,unk_g,uncultured Chloroflexi bacterium
"77133|AB645174.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: C9001C_B09_4_C020",1244,3,857,32.44,35.01,92.67,285.67,12.08,1234.38,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"156406|AB645307.1 Uncultured spirochete gene for 16S rRNA, partial sequence, clone: C9001C_B13_4_C033",1818,3,888,33.22,33.78,98.33,296.0,15.53,1808.02,1e-26,136,Bacteria,unk_k,Spirochaetes,Spirochaetia,Spirochaetales,unk_f,unk_g,
"77133|JN874152.1 Uncultured bacterium clone RESET_18F11 16S ribosomal RNA gene, partial sequence",8128,5,1469,28.11,28.11,100.0,355.69,28.52,8111.47,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"153939|JF950242.1 Uncultured sulfate-reducing bacterium clone NSED_DSR_30 dissimilatory sulfite reductase alpha subunit (dsrA) gene, partial cds",1004,3,865,33.18,34.68,95.67,288.33,6.24,994.3,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"153939|JF950268.1 Uncultured sulfate-reducing bacterium clone NSED_DSR_79 dissimilatory sulfite reductase alpha subunit (dsrA) gene, partial cds",5390,2,779,34.79,36.07,96.44,277.22,36.13,5381.23,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"86473|AB643578.1 Uncultured gamma proteobacterium DNA, bisucaberin biosynthetic gene cluster, complete cds",22630,28,7694,37.04,37.57,98.58,266.14,12.57,22543.5,1e-26,86473,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,unk_o,unk_f,unk_g,uncultured Gammaproteobacteria bacterium
"77133|JQ257821.1 Uncultured bacterium clone KJ-UB-58 16S ribosomal RNA gene, partial sequenceJQ257895.1 Uncultured bacterium clone KJ-UB-138 16S ribosomal RNA gene, partial sequence",8612,3,996,62.65,62.75,99.84,159.36,38.18,8600.79,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"663|JQ015335.1 Vibrio alginolyticus strain B840 RpoD (rpoD) gene, partial cds",2270,2,796,37.69,37.69,100.0,265.33,12.03,2261.05,1e-26,663,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus
"77133|JN798856.1 Uncultured bacterium clone UBM1B20_34 16S ribosomal RNA gene, partial sequence",2218,3,933,23.04,23.37,98.62,427.98,13.08,2207.51,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|JN798881.1 Uncultured bacterium clone UBM1B80_20 16S ribosomal RNA gene, partial sequence",13902,3,916,76.97,77.29,99.58,129.38,73.04,13891.69,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|JN798894.1 Uncultured bacterium clone UBM1B230_01 16S ribosomal RNA gene, partial sequence",3490,3,933,46.3,46.41,99.77,215.47,20.99,3479.51,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|JN798917.1 Uncultured bacterium clone UBM1B230_89 16S ribosomal RNA gene, partial sequence",4642,3,919,28.84,29.05,99.25,344.19,20.02,4631.66,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|JN789097.1 Uncultured bacterium clone 48HIT106 integrase (intI) gene, partial cds",1774,2,655,22.9,23.66,96.77,422.58,12.48,1766.64,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|JN789123.1 Uncultured bacterium clone 48HIT55 integrase (intI) gene, partial cds",5616,2,660,64.55,65.91,97.93,151.72,42.91,5608.57,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"115547|JF937853.1 Uncultured archaeon clone 4486DSRnest_102 DsrA (dsrA) and DsrB (dsrB) genes, partial cds",3082,4,1098,27.23,27.32,99.67,366.0,13.87,3069.66,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"115547|JF937855.1 Uncultured archaeon clone 4486DSRnest_107 DsrA (dsrA) and DsrB (dsrB) genes, partial cds",6190,4,1086,46.13,47.51,97.09,210.47,29.19,6177.78,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"153939|JN798932.1 Uncultured sulfate-reducing bacterium clone UBM1D80.47 dissimilatory sulfite reductase alpha subunit (dsrA) and dissimilatory sulfite reductase beta subunit (dsrB) genes, partial cds",3826,7,1947,24.7,24.86,99.38,402.27,6.87,3804.13,1e-26,153939,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured sulfate-reducing bacterium
"153939|JN798934.1 Uncultured sulfate-reducing bacterium clone UBM1D80.63 dissimilatory sulfite reductase alpha subunit (dsrA) and dissimilatory sulfite reductase beta subunit (dsrB) genes, partial cds",8790,7,1940,62.89,67.37,93.34,148.43,36.06,8768.18,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"115547|JQ989446.1 Uncultured archaeon clone ORI-902A-09-P_S128-130_093A13 16S ribosomal RNA gene, partial sequence",12810,5,1420,81.83,82.18,99.57,121.68,38.84,12794.02,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"77133|JQ989469.1 Uncultured bacterium clone ORI-902A-02-P_S128-130_023B02 16S ribosomal RNA gene, partial sequence",974,4,1296,22.92,23.15,99.0,432.0,3.41,959.5,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|JQ989518.1 Uncultured bacterium clone ORI-902A-09-P_S008-010_091B05 16S ribosomal RNA gene, partial sequence",5130,4,1292,28.02,28.64,97.84,349.19,17.98,5115.47,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"115547|JQ989649.1 Uncultured archaeon clone ORIII-1368-02-G_S161-163_023A04 16S ribosomal RNA gene, partial sequence",3014,5,1380,20.43,20.51,99.65,487.63,9.52,2998.49,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"77133|JQ989955.1 Uncultured bacterium clone ORI-860-03-P_S161-163_033Bdgge01 16S ribosomal RNA gene, partial sequence",1116,2,549,26.05,27.32,95.33,366.0,8.47,1109.83,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"77133|JQ990014.1 Uncultured bacterium clone ORI-860-25-P_S041-043_252Bdgge72 16S ribosomal RNA gene, partial sequence",2892,2,566,42.93,43.82,97.98,228.23,22.31,2885.63,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|JQ990019.1 Uncultured bacterium clone ORI-860-25-P_S068-070_253Bdgge77 16S ribosomal RNA gene, partial sequence",6558,2,564,65.6,65.78,99.73,152.02,50.5,6551.65,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|JQ816327.1 Uncultured bacterium clone MD-178-10-3263C_T6N-G_S750_15B01 16S ribosomal RNA gene, partial sequence",2832,5,1484,20.15,20.22,99.67,494.67,10.69,2815.33,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|JQ816350.1 Uncultured bacterium clone MD-178-10-3263C_T6N-G_S800_16B13 16S ribosomal RNA gene, partial sequence",2924,5,1438,20.79,20.86,99.67,479.33,10.22,2907.85,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|JQ816496.1 Uncultured bacterium clone MD-178-10-3290_K8B-P_S1335_09B11 16S ribosomal RNA gene, partial sequence",2024,5,1427,20.88,21.02,99.33,475.67,6.94,2007.99,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"115547|JQ816864.1 Uncultured archaeon clone MD-178-10-3292_KP6-2N-P_S300_02A19 16S ribosomal RNA gene, partial sequence",14732,5,1430,87.69,87.69,100.0,114.04,51.69,14715.9,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"77133|JQ816893.1 Uncultured bacterium clone MD-178-10-3292_KP6-2N-P_S300_02B09 16S ribosomal RNA gene, partial sequenceJQ816902.1 Uncultured bacterium clone MD-178-10-3292_KP6-2N-P_S300_02B18 16S ribosomal RNA gene, partial sequence",2736,5,1493,52.31,52.78,99.11,189.47,8.02,2719.23,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|JQ816907.1 Uncultured bacterium clone MD-178-10-3292_KP6-2N-P_S600_04B03 16S ribosomal RNA gene, partial sequence",4248,5,1430,20.98,20.98,100.0,476.67,13.99,4231.92,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|JQ818034.1 Uncultured bacterium clone MD-178-10-3261_T2-P_S750_05B04 16S ribosomal RNA gene, partial sequence",1758,5,1444,20.71,20.78,99.67,481.33,7.48,1741.8,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|JQ818133.1 Uncultured bacterium clone MD-178-10-3261_T2-P_S2400_16B07 16S ribosomal RNA gene, partial sequence",5838,5,1464,36.13,36.2,99.81,276.23,25.13,5821.53,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
696485|JX127210.1 Vibrio owensii clone V71-1 anonymous locus genomic sequence,2004,2,794,53.78,55.67,96.61,179.64,13.94,1995.08,1e-26,662,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,
"115547|JQ740752.1 Uncultured archaeon clone MC118(1)1 16S ribosomal RNA gene, partial sequence",124114,5,1357,97.94,97.94,100.0,102.11,458.7,124098.72,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"663|JX064517.1 Vibrio alginolyticus strain E0601 lecithin-dependent hemolysin (ldh) gene, complete cds",4056,4,1254,23.52,23.92,98.33,418.0,14.83,4041.9,1e-26,662,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,
"77133|FR872118.1 Uncultured bacterium partial mRNA for adenosine-5'-phosphosulfate reductase (aprA gene), clone GoM_AprA_13",466,1,412,52.43,52.91,99.08,188.99,4.97,461.38,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|FR872134.1 Uncultured bacterium partial mRNA for adenosine-5'-phosphosulfate reductase (aprA gene), clone GoM_AprA_77",2112,1,397,88.41,90.43,97.77,110.58,31.86,2107.53,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|FR875447.1 Uncultured bacterium partial 16S rRNA gene, clone HMG-R1368",748,2,626,31.47,31.95,98.5,313.0,6.99,740.98,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"358574|AB750430.1 Uncultured microorganism intI gene for integron integrase, partial cds, clone: 28Cas.IntI",2080,1,405,58.77,61.73,95.2,162.0,40.11,2075.44,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,,
"358574|AB750442.1 Uncultured microorganism DNA, gene cassette 8Cas.GasHyd.GC.1, complete sequence, clone: 8Cas.GasHyd.GC.1",1884,3,1058,26.65,28.36,94.0,352.67,10.77,1872.12,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,,
"77133|JX491630.1 Uncultured bacterium clone Wcon1_G09 16S ribosomal RNA gene, partial sequence",1934,2,573,47.82,52.36,91.33,191.0,26.69,1927.56,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"77133|JN884922.1 Uncultured bacterium clone NZ_78_Bac_03 16S ribosomal RNA gene, partial sequence",710,3,920,31.3,32.61,96.0,306.67,6.2,699.71,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"50719|JQ934821.1 Vibrio diabolicus glyceraldehydes-3-phosphodehydrogenase (gapA) gene, partial cds",4076,2,692,43.35,43.35,100.0,230.67,29.77,4068.21,1e-26,50719,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio diabolicus
"77133|HF545573.1 Uncultured bacterium partial 16S rRNA gene, clone 2ARNbG14_S5_98",3556,3,851,35.14,35.25,99.67,283.67,17.15,3546.43,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"227748|HQ729475.1 Pseudoalteromonas sp. D41 outer membrane protein W (ompW) gene, complete cds",39470,2,654,99.69,100.0,99.69,100.0,216.22,39462.64,1e-26,227748,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas sp. D41
"227748|HQ729476.1 Pseudoalteromonas sp. D41 outer membrane protein gene, complete cds",39460,4,1071,98.97,99.16,99.81,100.85,159.6,39447.94,1e-26,227748,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas sp. D41
"227748|HQ729477.1 Pseudoalteromonas sp. D41 transcription termination factor Rho gene, complete cds",27912,4,1260,86.19,86.59,99.54,115.49,102.55,27897.81,1e-26,227748,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas sp. D41
"227748|HQ729478.1 Pseudoalteromonas sp. D41 DNA-directed RNA polymerase alpha chain gene, complete cds",36614,3,987,83.79,83.89,99.88,119.2,160.28,36602.89,1e-26,227748,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas sp. D41
"227748|HQ729479.1 Pseudoalteromonas sp. D41 DNA-directed RNA polymerase subunit beta gene, complete cds",144554,15,4026,97.19,97.74,99.44,102.31,177.46,144508.68,1e-26,227748,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas sp. D41
"227748|HQ729480.1 Pseudoalteromonas sp. D41 lytic cell-wall binding lipoprotein gene, complete cds",64122,7,1911,98.8,99.53,99.26,100.47,166.85,64100.48,1e-26,227748,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas sp. D41
